PRC_ITEM,PRC_PRICE_TYPE,PRC_VALUE
2081,1,87500
2082,1,182000
2083,1,72000
2084,1,165000
2086,1,49500
2087,1,51000
2088,1,47500
2089,1,37500
2090,1,40000
2091,1,13500
2092,1,21000
2093,1,35000
2094,1,40000
2095,1,46000
2096,1,156000
2097,1,6000
2098,1,4000
2099,1,5000
2100,1,800
2101,1,1000
2102,1,1000
2103,1,8000
2104,1,13000
2105,1,85000
2106,1,41000
2107,1,46000
2108,1,96000
2109,1,132000
2110,1,31500
2111,1,24800
2112,1,36000
2113,1,20000
2114,1,25000
2115,1,45000
2116,1,1100
2117,1,8500
2118,1,17000
2119,1,10000
2120,1,10000
2121,1,28000
2122,1,12000
2123,1,5000
2124,1,5000
2125,1,5000
2126,1,8000
2127,1,5000
2128,1,5000
2129,1,15000
2130,1,18000
2131,1,20000
2132,1,35000
2133,1,52000
2134,1,32000
2135,1,10000
2136,1,300000
1925,1,226800
2038,1,23500
2057,1,44800
2072,1,42500
2085,1,30000
2039,1,25500
2058,1,72000
2139,1,15000
2140,1,16000
2141,1,17000
2158,1,8000
2159,1,9000
1,1,15000
2160,1,25000
1922,1,288000
1909,1,41500
1910,1,32000
2056,1,52500
2077,1,82000
